Субъект;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Краснодарский  край;7548,5;7548,5;7548,5;7548,5;7548,5;7548,5;7548,5;7548,5;7548,5;7548,5;7548,5;7548,5;7548,5;7548,5;7548,5;7548,5;7548,5;7548,5;7548,5;7548,5;7548,5;7548,5;7548,5;7548,5
Красноярский край;72367,1;72367,1;72367,1;72367,1;72367,1;72367,1;72367,1;72367,1;72367,1;236679,7;236679,7;236679,7;236679,7;236679,7;236679,7;236679,7;236679,7;236679,7;236679,7;236679,7;236679,7;236679,7;236679,7;236679,7
Курганская область;7148,8;7148,8;7148,8;7148,8;7148,8;7148,8;7148,8;7148,8;7148,8;7148,8;7148,8;7148,8;7148,8;7148,8;7148,8;7148,8;7148,8;7148,8;7148,8;7148,8;7148,8;7148,8;7148,8;7148,8
Курская область;2999,7;2999,7;2999,7;2999,7;2999,7;2999,7;2999,7;2999,7;2999,7;2999,7;2999,7;2999,7;2999,7;2999,7;2999,7;2999,7;2999,7;2999,7;2999,7;2999,7;2999,7;2999,7;2999,7;2999,7
Ленинградская область;8390,8;8390,8;8390,8;8390,8;8390,8;8390,8;8390,8;8390,8;8390,8;8390,8;8390,8;8390,8;8390,8;8390,8;8390,8;839,8;8390,8;8390,8;8390,8;8390,8;8390,8;8390,8;8390,8;8390,8
Липецкая область;2404,7;2404,7;2404,7;2404,7;2404,7;2404,7;2404,7;2404,7;2404,7;2404,7;2404,7;2404,7;2404,7;2404,7;2404,7;244,7;2404,7;2404,7;2404,7;2404,7;2404,7;2404,7;2404,7;2404,7
Магаданская область;46246,4;46246,4;46246,4;46246,4;46246,4;46246,4;46246,4;46246,4;46246,4;46246,4;46246,4;46246,4;46246,4;46246,4;46246,4;46246,4;46246,4;46246,4;46246,4;46246,4;46246,4;46246,4;46246,4;46246,4
Московская область;4579,9;4579,9;4579,9;4579,9;4579,9;4579,9;4579,9;4579,9;4579,9;4579,9;4579,9;4579,9;4579,9;4579,9;4432,9;4432,9;4432,9;4432,9;4432,9;4432,9;4432,9;4432,9;4432,9;4432,9
Мурманская область;14490,2;14490,2;14490,2;14490,2;14490,2;14490,2;14490,2;14490,2;14490,2;14490,2;14490,2;14490,2;14490,2;14490,2;14490,2;1449,2;14490,2;14490,2;14490,2;14490,2;14490,2;14490,2;14490,2;14490,2
Ненецкий а.о.;17681;17681;17681;17681;17681;17681;17681;17681;17681;17681;17681;17681;17681;17681;17681;17681;17681;17681;17681;17681;17681;17681;17681;17681
Нижегородская область;7662,4;7662,4;7662,4;7662,4;7662,4;7662,4;7662,4;7662,4;7662,4;7662,4;7662,4;7662,4;7662,4;7662,4;7662,4;7662,4;7662,4;7662,4;7662,4;7662,4;7662,4;7662,4;7662,4;7662,4
Новгородская область;5450,1;5450,1;5450,1;5450,1;5450,1;5450,1;5450,1;5450,1;5450,1;5450,1;5450,1;5450,1;5450,1;5450,1;5450,1;545,1;5450,1;5450,1;5450,1;5450,1;5450,1;5450,1;5450,1;5450,1
Новосибирская область;17775,6;17775,6;17775,6;17775,6;17775,6;17775,6;17775,6;17775,6;17775,6;17775,6;17775,6;17775,6;17775,6;17775,6;17775,6;17775,6;17775,6;17775,6;17775,6;17775,6;17775,6;17775,6;17775,6;17775,6
Омская область;14114;14114;14114;14114;14114;14114;14114;14114;14114;14114;14114;14114;14114;14114;14114;14114;14114;14114;14114;14114;14114;14114;14114;14114
Оренбургская область;12370,2;12370,2;12370,2;12370,2;12370,2;12370,2;12370,2;12370,2;12370,2;12370,2;12370,2;12370,2;12370,2;12370,2;12370,2;1237,2;12370,2;12370,2;12370,2;12370,2;12370,2;12370,2;12370,2;12370,2
Орловская область;2465,2;2465,2;2465,2;2465,2;2465,2;2465,2;2465,2;2465,2;2465,2;2465,2;2465,2;2465,2;2465,2;2465,2;2465,2;2465,2;2465,2;2465,2;2465,2;2465,2;2465,2;2465,2;2465,2;2465,2
Пензенская область;4335,2;4335,2;4335,2;4335,2;4335,2;4335,2;4335,2;4335,2;4335,2;4335,2;4335,2;4335,2;4335,2;4335,2;4335,2;4335,2;4335,2;4335,2;4335,2;4335,2;4335,2;4335,2;4335,2;4335,2
Пермский край;12746,6;12746,6;12746,6;12746,6;12746,6;12746,6;12746,6;12746,6;12746,6;16023,6;16023,6;16023,6;16023,6;16023,6;16023,6;1623,6;16023,6;16023,6;16023,6;16023,6;16023,6;16023,6;16023,6;16023,6
Приволжский федеральный округ;;;;;;;;;;;;103697,5;103697,5;;;;;;;;;;;
Приморский край;16467,3;16467,3;16467,3;16467,3;16467,3;16467,3;16467,3;16467,3;16467,3;16467,3;16467,3;16467,3;16467,3;16467,3;16467,3;16467,3;16467,3;16467,3;16467,3;16467,3;16467,3;16467,3;16467,3;16467,3
Псковская область;5539,9;5539,9;5539,9;5539,9;5539,9;5539,9;5539,9;5539,9;5539,9;5539,9;5539,9;5539,9;5539,9;5539,9;5539,9;5539,9;5539,9;5539,9;5539,9;5539,9;5539,9;5539,9;5539,9;5539,9
Республика  Адыгея;779,2;779,2;779,2;779,2;779,2;779,2;779,2;779,2;779,2;779,2;779,2;779,2;779,2;779,2;779,2;779,2;779,2;779,2;779,2;779,2;779,2;779,2;779,2;779,2
Республика  Алтай;9290,3;9290,3;9290,3;9290,3;9290,3;9290,3;9290,3;9290,3;9290,3;9290,3;9290,3;9290,3;35133,4;9290,3;9290,3;929,3;9290,3;9290,3;9290,3;9290,3;9290,3;9290,3;9290,3;9290,3
Республика  Башкортостан;14294,7;14294,7;14294,7;14294,7;14294,7;14294,7;14294,7;14294,7;14294,7;14294,7;14294,7;14294,7;14294,7;14294,7;14294,7;14294,7;14294,7;14294,7;14294,7;14294,7;14294,7;14294,7;14294,7;14294,7
Республика  Бурятия;35133,4;35133,4;35133,4;35133,4;35133,4;35133,4;35133,4;35133,4;35133,4;35133,4;35133,4;35133,4;9290,3;35133,4;35133,4;35133,4;35133,4;35133,4;35133,4;35133,4;35133,4;35133,4;35133,4;35133,4
Республика  Дагестан;5027;5027;5027;5027;5027;5027;5027;5027;5027;5027;5027;5027;5027;5027;5027;527;5027;5027;5027;5027;5027;5027;5027;5027
Республика  Калмыкия;7473,1;7473,1;7473,1;7473,1;7473,1;7473,1;7473,1;7473,1;7473,1;7473,1;7473,1;7473,1;7473,1;7473,1;7473,1;7473,1;7473,1;7473,1;7473,1;7473,1;7473,1;7473,1;7473,1;7473,1
Республика  Карелия;18052;18052;18052;18052;18052;18052;18052;18052;18052;18052;18052;18052;18052;18052;18052;1852;18052;18052;18052;18052;18052;18052;18052;18052
Республика  Коми;41677,4;41677,4;41677,4;41677,4;41677,4;41677,4;41677,4;41677,4;41677,4;41677,4;41677,4;41677,4;41677,4;41677,4;41677,4;41677,4;41677,4;41677,4;41677,4;41677,4;41677,4;41677,4;41677,4;41677,4
Город федерального значения Севастополь;;;;;;;;;;;;;;;;;;90;90;90;90;90;90;90
Республика Крым;;;;;;;;;;;;;;;;;;2608,1;2608,1;2608,1;2608,1;2608,1;2608,1;2608,1
Республика  Марий Эл;2337,5;2337,5;2337,5;2337,5;2337,5;2337,5;2337,5;2337,5;2337,5;2337,5;2337,5;2337,5;2337,5;2337,5;2337,5;2337,5;2337,5;2337,5;2337,5;2337,5;2337,5;2337,5;2337,5;2337,5
Республика  Мордовия;2612,8;2612,8;2612,8;2612,8;2612,8;2612,8;2612,8;2612,8;2612,8;2612,8;2612,8;2612,8;2612,8;2612,8;2612,8;2612,8;2612,8;2612,8;2612,8;2612,8;2612,8;2612,8;2612,8;2612,8
