Субъект;Место;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
        Рязанская область;все население;4504;4708;5015;5614;5826;5683;4779;4437;4683;4447;6026;8160;9917;8401;5707;4866;5104;5722;5651;5848;5270;5127;5141;5566;5470;4992;4839;5037;4718;4979;4376;4759
        Рязанская область;городское население;;;;;;;;;;;;;;;;;;;;;;3907;3878;4093;4042;3671;3582;3719;3483;3746;3352;3568
        Рязанская область;сельское население;;;;;;;;;;;;;;;;;;;;;;1220;1263;1473;1428;1321;1257;1318;1235;1233;1024;1191
        Смоленская область;все население;4594;4844;5397;5534;5718;5499;4407;4683;3414;3936;5142;6888;6981;6462;5065;4880;4566;5253;5406;5606;5033;5128;4972;5180;5189;4486;4321;4311;4155;4359;4014;4083
        Смоленская область;городское население;;;;;;;;;;;;;;;;;;;;;;3936;3863;4014;3959;3524;3393;3383;3163;3340;3117;3169
        Смоленская область;сельское население;;;;;;;;;;;;;;;;;;;;;;1192;1109;1166;1230;962;928;928;992;1019;897;914
        Тамбовская область;все население;3925;4329;4449;4897;5371;5379;4438;4215;3665;3922;5077;6077;6784;5825;4601;4222;4505;5083;5102;5089;4578;4572;4571;5011;4914;4283;4116;4136;3908;3998;3560;3992
        Тамбовская область;городское население;;;;;;;;;;;;;;;;;;;;;;2919;2992;3245;3169;2796;2689;2700;2572;2624;2362;2626
        Тамбовская область;сельское население;;;;;;;;;;;;;;;;;;;;;;1653;1579;1766;1745;1487;1427;1436;1336;1374;1198;1366
        Тверская область;все население;6227;6511;7165;7935;7906;7568;5936;5675;5324;5264;6326;7466;8691;7672;6443;5937;6142;6647;7243;7447;6498;6629;6429;6328;6595;5706;5482;5731;5447;5592;5109;5458
        Тверская область;городское население;;;;;;;;;;;;;;;;;;;;;;5159;4968;4898;5073;4488;4307;4480;4204;4398;4017;4324
        Тверская область;сельское население;;;;;;;;;;;;;;;;;;;;;;1470;1461;1430;1522;1218;1175;1251;1243;1194;1092;1134
        Тульская область;все население;7905;8363;8827;9172;8871;9123;7083;6532;6347;6643;7701;9043;10455;9438;7865;7310;7006;7266;7760;8249;7251;7271;6957;7630;7513;6172;6237;6327;6042;6116;5580;6176
        Тульская область;городское население;;;;;;;;;;;;;;;;;;;;;;5863;5557;6131;5841;4778;4875;4963;4760;4819;4398;4693
        Тульская область;сельское население;;;;;;;;;;;;;;;;;;;;;;1408;1400;1499;1672;1394;1362;1364;1282;1297;1182;1483
        Ярославская область;все население;5502;5806;6879;7223;8166;7751;5421;4869;5224;4488;5885;7544;7200;6978;5667;5461;5762;6247;6484;6483;5721;6164;5962;6450;6382;5445;5195;5187;5080;5400;4669;5584
        Ярославская область;городское население;;;;;;;;;;;;;;;;;;;;;;5195;4946;5341;5274;4638;4395;4382;4216;4521;3898;4666
        Ярославская область;сельское население;;;;;;;;;;;;;;;;;;;;;;969;1016;1109;1108;807;800;805;864;879;771;918
        Город Москва столица Российской Федерации город федерального значения;все население;43380;43959;42020;44841;42691;40136;44225;43965;43110;43102;45826;48670;50721;46819;45531;43378;45025;48149;48827;48131;44539;44447;42385;45682;45378;43560;43288;45009;43942;47980;39934;46583
        Город Москва столица Российской Федерации город федерального значения;городское население;;;;;;;;;;;;;;;;;;;;;;44447;42044;45458;45111;43216;42901;44564;43460;46986;38672;44983
        Город Москва столица Российской Федерации город федерального значения;сельское население;;;;;;;;;;;;;;;;;;;;;;0;341;224;267;344;387;445;482;994;1262;1600
    Северо-Западный федеральный округ;все население;67683;72447;78519;82124;82857;77747;61500;61612;56106;59774;69641;82193;89032;85353;67185;63990;67362;72242;74664;73114;67107;69871;67786;71880;71373;63216;63888;63691;63748;65748;57490;63552
    Северо-Западный федеральный округ;городское население;;;;;;;;;;;;;;;;;;;;;;60025;57950;61799;61077;54952;55516;55382;55568;57832;50166;55605
    Северо-Западный федеральный округ;сельское население;;;;;;;;;;;;;;;;;;;;;;9846;9836;10081;10296;8264;8372;8309;8180;7916;7324;7947
        Республика Карелия;все население;2623;3157;3726;4271;4447;4397;3338;3393;2591;2857;3407;4215;4304;3868;3035;3071;3164;3403;3543;3349;3018;3247;3030;3344;3270;2725;2814;2748;2473;2839;2392;2676
        Республика Карелия;городское население;;;;;;;;;;;;;;;;;;;;;;2532;2343;2634;2582;2206;2265;2266;2002;2340;1987;2238
        Республика Карелия;сельское население;;;;;;;;;;;;;;;;;;;;;;715;687;710;688;519;549;482;471;499;405;438
        Республика Коми;все население;5184;6007;6600;6540;6985;6531;4794;4340;4378;4107;5072;6072;6223;5544;4916;4427;4698;5005;5259;5268;4648;4795;4707;4924;4841;4112;4133;4229;3820;3862;3409;3754
        Республика Коми;городское население;;;;;;;;;;;;;;;;;;;;;;3944;3775;4055;3861;3379;3386;3432;3122;3194;2787;3100
        Республика Коми;сельское население;;;;;;;;;;;;;;;;;;;;;;851;932;869;980;733;747;797;698;668;622;654
        Архангельская область;все население;4758;5405;5882;6561;6768;6455;4724;4532;3809;4139;5118;6701;7586;7338;5508;5210;5613;6213;6527;6415;5806;6284;5883;6444;6240;5120;5005;4976;4961;4871;4542;5152
        Архангельская область;городское население;;;;;;;;;;;;;;;;;;;;;;4975;4568;4997;4811;4053;3891;3977;3939;3892;3557;4067
        Архангельская область;сельское население;;;;;;;;;;;;;;;;;;;;;;1309;1315;1447;1429;1067;1114;999;1022;979;985;1085
            Ненецкий автономный округ (Архангельская область);все население;213;199;209;204;192;108;163;106;87;115;169;242;234;222;165;151;185;191;220;211;218;222;197;242;227;173;185;136;163;176;158;176
            Ненецкий автономный округ (Архангельская область);городское население;;;;;;;;;;;;;;;;;;;;;;176;157;189;180;138;149;114;138;144;134;138
            Ненецкий автономный округ (Архангельская область);сельское население;;;;;;;;;;;;;;;;;;;;;;46;40;53;47;35;36;22;25;32;24;38
            Архангельская область (без АО);все население;4545;5206;5673;6357;6576;6347;4561;4426;3722;4024;4949;6459;7352;7116;5343;5059;5428;6022;6307;6204;6800;6700;7400;7700;6013;4947;4820;4840;4798;4695;4384;4976
            Архангельская область (без АО);городское население;;;;;;;;;;;;;;;;;;;;;;5;7;8;4631;3915;3742;3863;3801;3748;3423;3929
            Архангельская область (без АО);сельское население;;;;;;;;;;;;;;;;;;;;;;10;8;8;1382;1032;1078;977;997;947;961;1047
        Вологодская область;все население;3811;4403;4921;5834;5887;5452;4369;4068;3532;4073;4647;6214;6504;7286;5466;5756;6213;6647;6587;5430;5091;5273;5567;5434;5610;4380;4640;4700;4530;4657;4253;4966
        Вологодская область;городское население;;;;;;;;;;;;;;;;;;;;;;3911;4087;4027;4127;3303;3521;3570;3498;3584;3307;3854
        Вологодская область;сельское население;;;;;;;;;;;;;;;;;;;;;;1362;1480;1407;1483;1077;1119;1130;1032;1073;946;1112
        Калининградская область;все население;4142;4554;5004;5264;5491;5530;4526;4231;4527;4071;4598;5369;5491;5065;4554;4197;4558;4890;5097;5401;4997;5395;5237;5732;5547;5273;5177;5039;5219;5496;5040;4937
        Калининградская область;городское население;;;;;;;;;;;;;;;;;;;;;;4252;4136;4564;4353;4182;4096;4053;4200;4419;3993;3929
        Калининградская область;сельское население;;;;;;;;;;;;;;;;;;;;;;1143;1101;1168;1194;1091;1081;986;1019;1077;1047;1008
        Ленинградская область;все население;7762;8616;9613;10100;10730;10245;7408;7076;6080;6855;7643;9243;11303;10927;8016;7524;7718;8257;8478;8343;7824;8100;7904;8378;8197;7309;7316;7457;7567;7637;6426;7267
        Ленинградская область;городское население;;;;;;;;;;;;;;;;;;;;;;5591;5522;5723;5643;5126;5127;5149;5221;5365;4656;5169
        Ленинградская область;сельское население;;;;;;;;;;;;;;;;;;;;;;2509;2382;2655;2554;2183;2189;2308;2346;2272;1770;2098
        Мурманская область;все население;5916;6868;7211;6853;7484;6776;5247;5275;5039;5102;5919;6709;6982;6462;5604;5640;5718;5742;5838;5868;5041;5068;4787;4853;4800;4107;4160;4029;3881;4020;3367;3514
        Мурманская область;городское население;;;;;;;;;;;;;;;;;;;;;;4706;4471;4513;4486;3882;3928;3772;3659;3797;3173;3305
