Субъект;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
        Волгоградская область;;;;;;;;;;;;;;;37507;34997;34030;32263;30827;28265;25475;24443;22002;20951;19243;18419;16017;11279;9283;8493;7772;6872
        Ростовская область;;;;;;;;;;;;;;;38652;36132;34150;33014;32358;29260;26280;24384;21172;18890;16653;14231;15369;14414;11706;10875;9864;9291
        Город федерального значения Севастополь;;;;;;;;;;;;;;;;;;;;;;;;;;2235;2098;2052;1669;1701;1545;1321
    Северо-Кавказский федеральный округ;;;;;;;;;;;;;;;;;;;;;45736;45078;40599;39194;35325;32825;33248;30478;27192;26979;23449;23222
        Республика Дагестан;;;;;;;;;;;;;;;12073;12859;12385;11276;10059;9875;9882;9522;8279;8548;7050;6761;7298;6118;5820;5828;5205;5157
        Республика Ингушетия;;;;;;;;;;;;;;;921;1043;983;1079;1217;1434;1695;1627;1347;1418;1243;1142;1082;1010;879;868;793;841
        Кабардино-Балкарская Республика;;;;;;;;;;;;;;;5412;6621;5644;4242;4113;3536;3329;2893;2790;3014;2690;2498;2532;2295;1858;1971;1195;1069
        Карачаево-Черкесская Республика;;;;;;;;;;;;;;;2781;2555;2605;4624;2323;1983;1701;2292;2171;1863;1664;1455;1297;1408;1305;1348;1154;1135
        Республика Северная Осетия-Алания;;;;;;;;;;;;;;;5451;5107;4723;4701;4571;4559;4199;4201;3788;3450;3397;2822;2576;2729;2118;2029;1744;1750
        Чеченская Республика;;;;;;;;;;;;;;;0;0;3172;4230;4645;5239;4367;4050;3812;4225;3710;3953;4241;3814;3760;3946;4076;4089
        Ставропольский край;;;;;;;;;;;;;;;25359;27230;24895;24828;22064;21820;20563;20493;18412;16676;15571;14194;14222;13104;11452;10989;9282;9181
    Приволжский федеральный округ;;;;;;;;;;;;;;;409594;380609;355921;333032;314689;293799;264283;248299;232153;222463;202512;182168;176274;167673;144014;134313;119652;111252
        Республика Башкортостан;;;;;;;;;;;;;;;50385;44739;41756;38228;33477;31066;28421;25584;23877;21584;19512;19068;17403;17100;15163;14865;14078;12768
        Республика Марий Эл;;;;;;;;;;;;;;;10183;9175;8471;8586;8163;7625;7558;7091;7557;6638;6078;5495;5915;5619;4685;4296;3901;3483
        Республика Мордовия;;;;;;;;;;;;;;;10398;10000;9308;8638;8601;8163;7332;7196;6434;5763;4935;3631;3641;3426;2661;2180;1887;2139
        Республика Татарстан (Татарстан);;;;;;;;;;;;;;;50265;46611;42863;38593;35161;33840;30616;30249;28851;27135;25487;22468;22359;21829;18677;17396;16024;15734
        Удмуртская Республика;;;;;;;;;;;;;;;26962;23678;22119;19714;19383;17332;15443;13800;12901;12371;11183;9689;9024;8311;7599;6710;6719;6392
        Чувашская Республика - Чувашия;;;;;;;;;;;;;;;21324;17801;16229;16267;14744;12880;11705;10897;9705;9394;9566;8978;8740;7804;6951;6343;5562;5290
        Пермский край;;;;;;;;;;;;;;;45376;41924;38845;36992;35466;33562;29171;26990;25964;25507;22784;18880;17281;20255;18572;17466;15466;13543
        Кировская область;;;;;;;;;;;;;;;23015;22162;21440;19446;19505;18392;17266;16281;15365;13984;12276;11067;10611;9349;8144;7294;5727;5322
        Нижегородская область;;;;;;;;;;;;;;;37929;40311;37797;34857;33411;30023;25072;25539;22084;24041;21350;20048;19777;17738;13848;13018;11113;10742
        Оренбургская область;;;;;;;;;;;;;;;40396;37568;34666;33686;32448;31288;28406;27262;25177;24664;22117;20442;19050;17419;15212;14154;11255;9967
        Пензенская область;;;;;;;;;;;;;;;18315;16589;15571;14890;14308;13546;11841;10120;8848;8670;7895;6929;6847;6214;4725;4545;4245;3842
        Самарская область;;;;;;;;;;;;;;;32869;31524;29286;26585;25604;23620;21785;19742;20590;19127;17391;16118;16340;14749;12771;11945;10615;9912
        Саратовская область;;;;;;;;;;;;;;;25868;24032;24585;24791;23146;21833;19775;17894;16868;15789;15051;13068;12827;11661;9626;9116;8521;8296
        Ульяновская область;;;;;;;;;;;;;;;16309;14495;12985;11759;11272;10629;9892;9654;7932;7796;6887;6287;6459;6199;5380;4985;4539;3822
    Уральский федеральный округ;;;;;;;;;;;;;;;212446;182149;175850;167175;158992;148407;138428;131513;126191;120368;108702;97850;97274;90513;78147;74547;68100;62432
        Курганская область;;;;;;;;;;;;;;;16010;14165;13754;13050;13194;12354;11352;11068;9999;9129;8153;7047;7445;6624;5459;5063;4270;3621
        Свердловская область;;;;;;;;;;;;;;;85287;62981;64651;64324;59205;56028;53128;50989;48480;46174;42489;38040;38283;35077;31714;29642;27262;25516
        Тюменская область;;;;;;;;;;;;;;;53937;51204;49591;45591;43958;40856;38065;36124;36378;35711;32170;29394;29061;26972;22706;22157;19915;18190
            Ханты-Мансийский автономный округ - Югра (Тюменская область);;;;;;;;;;;;;;;25298;22972;20779;18838;17550;16355;15295;14325;15373;15017;13787;12473;11586;10941;9084;8253;7552;6811
            Ямало-Ненецкий автономный округ (Тюменская область);;;;;;;;;;;;;;;9878;9467;9289;8224;7678;7500;6717;6380;6162;5925;5165;4772;5180;4178;3523;3359;3039;2854
            Тюменская область (без АО);;;;;;;;;;;;;;;18761;18765;19523;18529;18730;17001;16053;15419;14843;14769;13218;12149;12295;11853;10099;10545;9324;8525
        Челябинская область;;;;;;;;;;;;;;;57212;53799;47854;44210;42635;39169;35883;33332;31334;29354;25890;23369;22485;21840;18268;17685;16653;15105
    Сибирский федеральный округ;;;;;;;;;;;;;;;313698;288074;281070;260552;244976;233058;217119;203612;190637;185957;170144;153537;155740;150441;110265;103079;91246;85376
        Республика Алтай;;;;;;;;;;;;;;;3806;3744;3769;3512;3370;3380;3161;3096;2399;2352;2371;2042;2172;2148;1653;1591;1427;1296
        Республика Тыва;;;;;;;;;;;;;;;4706;5065;5058;4619;4525;4774;4622;5014;4687;4476;4326;3794;3592;3803;2700;2523;2376;2640
        Республика Хакасия;;;;;;;;;;;;;;;9999;7227;6917;6794;6321;6103;6063;5894;5763;5587;4855;3532;3269;3154;2534;2515;2410;2181
        Алтайский край;;;;;;;;;;;;;;;27170;25490;25061;23628;22332;21034;20194;19192;16024;16183;14821;13444;13624;12309;10596;10289;8488;7563
        Красноярский край;;;;;;;;;;;;;;;53075;49787;46605;43651;40356;36743;34875;31667;30914;29793;27885;26247;26631;25444;21967;20294;18217;17803
        Иркутская область;;;;;;;;;;;;;;;43095;38803;38118;37275;34174;32171;29133;28619;26310;24387;23577;22369;22544;22290;17374;17125;15174;13752
        Кемеровская область - Кузбасс;;;;;;;;;;;;;;;41351;38173;40757;37138;35527;34530;31879;30352;29402;29039;27067;22702;22482;21562;17522;16081;14182;13603
        Новосибирская область;;;;;;;;;;;;;;;49879;48097;47900;42571;41034;40511;36601;32819;30309;29219;27964;24211;24342;24029;20658;19338;16915;15417
        Омская область;;;;;;;;;;;;;;;29829;26218;23904;21052;17577;16488;14584;13347;12728;13125;9617;9253;9077;9520;7908;6685;6288;5699
        Томская область;;;;;;;;;;;;;;;18494;15845;14983;13546;14171;13360;12185;10768;10051;9390;8141;7841;8464;8201;7353;6638;5769;5422
    Дальневосточный федеральный округ;;;;;;;;;;;;;;;110248;111919;100194;91273;84934;81154;76061;71327;68048;64754;59256;53049;52002;48582;56381;52171;45633;42768
        Республика Бурятия;;;;;;;;;;;;;;;15704;14488;13755;13076;12567;11384;11974;11382;10888;10793;9681;8954;9967;9132;7543;6283;5388;5258
        Забайкальский край;;;;;;;;;;;;;;;16590;15137;14243;13690;13022;12580;11848;11462;11162;11613;9839;9148;9576;8849;7404;6867;5841;5772
        Республика Саха (Якутия);;;;;;;;;;;;;;;17459;16832;14647;14496;13572;12423;12795;11749;11185;11876;11446;11236;11065;10574;8840;8583;7264;7039
        Камчатский край;;;;;;;;;;;;;;;6405;6085;5800;5205;4785;4598;4000;3380;3252;2917;2416;2081;2535;2186;2048;1898;1749;1474
        Приморский край;;;;;;;;;;;;;;;27498;26407;23884;19396;19079;18987;17160;16490;15938;14005;13006;11960;12126;11246;9592;8521;7693;7132
        Хабаровский край;;;;;;;;;;;;;;;25038;24117;22863;21915;19805;19048;17757;16625;16123;14581;13720;11577;10965;10816;9219;8797;7808;7135
        Амурская область;;;;;;;;;;;;;;;17622;21440;16217;14608;13759;13020;12126;11679;10533;10048;8946;7278;6771;5954;5150;4961;4276;3879
        Магаданская область;;;;;;;;;;;;;;;3295;3027;3037;2753;2642;2606;2324;2093;2313;2142;1890;1692;1606;1376;1126;1016;957;831
        Сахалинская область;;;;;;;;;;;;;;;8614;9693;9929;9078;7799;7360;6866;6209;5853;6184;5503;4835;4711;4378;3722;3578;3220;2994
        Еврейская автономная область;;;;;;;;;;;;;;;3424;3344;3011;3062;2796;2494;2470;2517;2278;2307;1850;1893;1730;1638;1422;1373;1149;967
        Чукотский автономный округ;;;;;;;;;;;;;;;893;974;806;760;697;618;563;585;573;694;479;497;493;414;315;294;288;287
