Субъект;1990;1991;1992;1993;1994;1995;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
        Калининградская область;;;;26262;25814;27385;23430;22333;20882;17896;16327;15526;15429;12968;11030;10352;9549;10170;9738;10923;17192;22626;26899;28787;31245;32093;34967;37799;40301;36751;36698
        Ленинградская область;;;;42140;43334;46739;33201;32514;29703;26793;24263;22979;23322;22398;19859;20839;22101;23638;19721;21614;31989;51511;64866;73564;75031;68165;74845;80436;76581;70448;70049
        Мурманская область;;;;57447;57432;52412;42002;39458;35069;28999;25675;24695;24062;21488;20830;22031;21008;22667;18677;22576;35039;41306;43599;42931;42570;43162;43416;43595;40162;33714;31104
        Новгородская область;;;;20518;19928;20953;16358;14312;12922;11917;10894;10350;10212;10689;9594;9317;9374;10170;10124;12302;20070;26630;26276;26611;23537;23387;25362;25097;23492;22661;21486
        Псковская область;;;;21483;21166;23015;17749;17134;17462;15837;14390;13239;12884;12829;10518;10937;11137;10664;9296;10577;19685;25347;27728;26961;27965;28082;29856;31077;30405;27076;24405
        Город Санкт-Петербург город федерального значения;;;;83291;74823;72585;60742;53013;51443;45853;40259;38355;40392;35289;28956;28407;27233;29049;26077;30330;71689;120419;157619;209176;211821;187954;200234;222966;210370;179825;174387
    Южный федеральный округ;;;;451033;387945;410929;374186;372699;371813;339019;324321;306331;317245;438113;293096;294652;335065;315432;278090;301509;249992;321602;351734;378979;381290;427711;438385;453697;434290;404965;395781
        Республика Адыгея (Адыгея);;;;10807;10580;10643;9055;8642;9418;8874;8665;7725;8536;7912;7556;8108;8161;6982;6076;6426;10043;12734;14044;14998;15823;16167;15908;14996;14612;17900;15013
        Республика Калмыкия;;;;12351;12203;12669;10373;11540;12065;11695;10961;9782;9406;9531;8944;8871;10288;9703;8501;9432;13976;15835;14819;14250;16216;15488;15529;15686;14559;11580;12320
        Республика Крым;;;;;;;;;;;;;;;;;;;;;;;;;26586;30941;35142;40091;40807;46109;41548
        Краснодарский край;;;;90106;83737;88941;84965;82262;82773;74975;70506;66826;67424;62366;58683;58838;64028;62102;53161;57620;94280;130546;143743;164221;150627;157158;154960;153058;147842;134890;135805
        Астраханская область;;;;21568;21624;22085;18413;18308;17193;15758;14347;14199;14251;13108;13175;13341;14414;13069;12332;13445;19327;28989;29472;31191;33408;29184;30485;31654;30325;22975;21963
        Волгоградская область;;;;60933;60929;62564;51343;46543;45611;41197;37210;33279;33299;32320;30515;29568;30286;29168;25330;27327;37846;44095;49167;50493;54762;61680;66251;72451;66064;56100;55340
        Ростовская область;;;;84395;78455;81238;72765;73723;75269;68703;63530;58874;57590;54024;52125;50387;54415;57439;45549;49561;74520;89403;100489;103826;110454;107480;108638;112374;106111;99825;96472
        Город федерального значения Севастополь;;;;;;;;;;;;;;;;;;;;;;;;;6982;9613;11472;13387;13970;15586;17320
    Северо-Кавказский федеральный округ;;;;;;;;;;;;;;;;;;;;;199335;232168;239565;224346;223350;209656;204711;212401;203758;178751;169859
        Республика Дагестан;;;;28559;30056;34976;36417;43484;40430;35653;35852;33794;39413;32624;33129;35152;48707;40841;41991;45550;56247;63373;63297;57962;57625;54677;56953;56694;53363;43586;43675
        Республика Ингушетия;;;;17252;0;0;1650;2229;2195;2769;3590;4259;4094;3434;3394;3167;3424;4555;4918;4471;9908;7979;8136;7260;8272;6067;6037;6923;6109;5591;5716
        Кабардино-Балкарская Республика;;;;10946;15097;14951;13521;12316;12596;11876;11467;11150;11495;11414;10477;10527;11010;10542;9198;10220;15322;17955;18305;15608;14880;14277;14165;14974;13278;12080;10074
        Карачаево-Черкесская Республика;;;;11724;10551;11690;9582;9319;9794;9235;9366;9808;9640;9047;9131;11322;13680;10536;9173;9797;14108;16327;15458;14228;13730;13140;11005;11959;12194;11170;11947
        Республика Северная Осетия-Алания;;;;42723;9207;9494;10279;10269;10997;9426;9416;10149;11615;10694;10231;9739;9983;10307;9611;10179;17139;18960;19672;17214;17923;15987;15854;17013;14393;11320;10224
        Чеченская Республика;;;;0;0;0;0;0;0;0;0;0;0;11862;10415;11117;13793;14049;13361;15634;18963;22079;23171;20542;22078;22346;20254;20929;18966;15713;16679
        Ставропольский край;;;;59669;55506;61678;55823;54064;53472;48858;49411;46486;50482;45629;45321;44515;52876;46139;38889;41847;67648;85495;91526;91532;88842;83162;80443;83909;85455;79291;71544
    Приволжский федеральный округ;;;;690844;673536;701003;608173;560513;539879;515422;476435;437361;438314;303965;430589;432947;438573;414567;358265;406649;673136;819709;857661;889350;887798;873411;869079;902832;830335;735187;730145
        Республика Башкортостан;;;;96724;93892;97216;88195;81361;80951;81152;76948;70318;71341;70757;74626;76128;83052;81432;71947;74996;116618;141582;148494;157614;157643;154592;146369;153302;144758;125118;133133
        Республика Марий Эл;;;;18294;18816;19813;16228;15762;14629;13976;14412;13479;13597;13388;12293;12427;12408;12149;9276;11489;20368;22499;22626;21244;21834;21334;21829;21656;23629;21852;20009
        Республика Мордовия;;;;16578;16368;17934;14334;13894;12126;12989;12438;11309;13027;13332;11990;12080;12589;11655;10314;11999;19167;22745;22632;22561;23378;21574;28209;31350;24599;22366;19313
        Республика Татарстан (Татарстан);;;;74640;71761;79084;72908;67140;65229;61020;52851;49335;50594;50726;51444;50227;52790;48797;42666;52614;75270;90702;92302;99311;93689;91052;90898;93012;86520;83209;85311
        Удмуртская Республика;;;;35866;35077;35497;30222;28757;25460;23797;21675;20326;20013;20986;20060;19997;18296;16552;14370;15961;30778;39552;43883;46799;49148;49375;48652;49087;40612;36013;38761
        Чувашская Республика - Чувашия;;;;32641;29803;29988;26237;25952;24643;23677;23420;21683;22063;23705;21943;22634;21159;21230;19643;22239;35392;40490;40213;40167;45163;48768;47065;51126;43482;39084;36355
        Пермский край;;;;71128;67770;70670;60437;54046;51309;48004;43799;38027;34847;32957;32855;32676;32917;29970;27914;30279;63459;77184;84596;86785;83754;86525;88717;90791;80318;70711;72558
        Кировская область;;;;44912;45099;45848;36097;32859;31234;31080;28586;25499;24742;24090;22467;21953;21266;20999;17806;20897;40843;51712;54707;55602;54761;52153;53051;54615;50938;43249;43572
        Нижегородская область;;;;57957;57879;61255;50495;44626;42036;38890;35885;32847;33183;35146;31759;31475;30866;30452;26652;30408;54642;68755;73042;76016;78036;78563;74981;79851;75109;68746;62906
        Оренбургская область;;;;53931;51900;56419;47152;44293;43678;39703;35725;33317;34506;34032;35194;33940;33225;29085;25603;29186;53091;65189;66331;67525;62651;59698;57101;56279;56539;49070;50267
        Пензенская область;;;;29102;29595;30690;28798;27119;25779;23781;23840;21770;22095;21481;19603;20507;21169;20329;16290;18018;29093;35798;40763;39661;38849;36924;38163;38920;35939;26781;24779
        Самарская область;;;;62240;59783;58950;52253;46392;45181;42120;37529;34375;33752;34061;34802;36332;36489;35414;30232;36245;50338;64040;65559;69699;74446;70906;71097;76326;71327;66268;63665
        Саратовская область;;;;63215;62357;64122;53808;49302;49251;48268;45435;42740;43535;43340;43964;45781;44699;40237;32571;37831;58831;69142;72512;74918;72850;71054;72707;74164;68565;58383;54612
        Ульяновская область;;;;33616;33436;33517;31009;29010;28373;26965;23892;22336;21019;20112;17589;16790;17648;16266;12981;14487;25246;30319;30001;31448;31596;30893;30240;32353;28000;24337;24904
    Уральский федеральный округ;;;;358648;349786;364286;295895;279306;273868;241314;224737;210293;212350;216513;211402;218101;221891;207806;176350;193676;319750;411588;442350;435417;424466;417508;417264;425510;393246;360879;346260
        Курганская область;;;;35180;33884;35958;29103;27009;25015;25213;25039;23612;24555;23754;23525;22220;23569;19353;15989;16708;31031;40468;40674;37590;35800;33177;33060;36123;32356;30498;30090
        Свердловская область;;;;122871;112265;117668;95158;88408;86062;76646;70942;66498;64029;70774;66267;69655;66054;58563;49057;53733;84331;109495;119390;121806;117550;118900;120266;121994;108504;102739;94624
        Тюменская область;;;;113650;123090;121444;101001;99650;99863;80784;73529;72212;75112;74616;72786;76911;79330;80141;67488;78871;132095;176314;191983;183230;178489;169004;165713;166540;154929;139350;134556
            Ханты-Мансийский автономный округ - Югра (Тюменская область);;;;;63819;62680;48034;46259;48160;35168;31844;32877;35773;36368;36985;39621;41650;43340;35877;41588;66727;82800;85302;82447;84047;82838;80284;79006;73303;64928;65046
            Ямало-Ненецкий автономный округ (Тюменская область);;;;;27295;24331;20279;21803;22189;17055;15189;14792;14582;14964;15079;15441;16028;17699;14699;17874;29590;45344;52315;49320;47807;39774;37581;37787;34334;28930;27594
            Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);;;;;31976;34433;32688;31588;29514;28561;26496;24543;24757;23284;20722;21849;21652;19102;16912;19409;35778;48170;54366;51463;46635;46392;47848;49747;47292;45492;41916
        Челябинская область;;;;86947;80547;89216;70633;64239;62928;58671;55227;47971;48654;47369;48824;49315;52938;49749;43816;44364;72293;85311;90303;92791;92627;96427;98225;100853;97457;88292;86990
    Сибирский федеральный округ;;;;660434;636090;660202;549935;526020;519252;473577;449498;417741;407381;405926;385653;386579;386999;362075;326829;355068;534344;619487;649949;637103;652011;654560;670201;616234;557907;501463;492144
        Республика Алтай;;;;6694;6671;6884;6439;6758;6817;6228;5536;4378;4293;4421;4647;4074;4270;3905;4028;4811;10267;9927;10879;12097;13133;13229;13315;13037;12706;11054;11632
        Республика Тыва;;;;14379;11988;12494;10059;8587;9266;10305;10510;10446;8295;8951;8145;8035;8564;8798;9783;9781;12573;14189;13837;12564;12865;13203;13323;13476;11619;10437;12104
        Республика Хакасия;;;;21076;20963;23184;19068;17836;18942;17421;16394;15045;15501;15032;14549;13414;14271;12107;11241;13280;18840;22078;23478;23101;24361;24349;24230;24024;21520;20488;21827
        Алтайский край;;;;86215;84205;95872;78529;75534;76724;70516;69253;62640;60064;58665;56905;55738;53894;48852;44222;48942;80269;93067;96041;87830;85936;82241;80944;86819;83800;67865;70313
        Красноярский край;;;;111399;109295;108948;89339;84473;83190;74840;67960;64927;66175;66638;67396;69776;70326;65173;58612;59864;82931;98736;108956;112573;114345;119650;124082;131272;122568;113591;116125
        Иркутская область;;;;84464;78643;73948;69616;65338;61246;55368;50521;46347;44287;45390;43763;43562;43143;41616;35152;42115;62241;69204;76195;70402;67740;70124;72605;74040;62325;56291;51483
        Кемеровская область - Кузбасс;;;;89463;83282;86196;68156;63599;61343;54032;52966;50623;49670;51075;46725;45050;45215;44586;38196;41630;63249;71182;72354;76063;77546;80349;79823;82915;73238;64178;62691
